GRAPH,Algorithm,Execução,Resultado
100-9900,Djkstra - Matriz,7,0.0195299
100-9900,Djkstra - Matriz,8,0.0204922
100-9900,Djkstra - Matriz,9,0.0189389
100-9900,Djkstra - Matriz,10,0.0192749
100-9900,Floyd,1,0.4996244
100-9900,Floyd,2,0.4350681
100-9900,Floyd,3,0.4588931
100-9900,Floyd,4,0.4390901
100-9900,Floyd,5,0.4410786
100-9900,Floyd,6,0.4337783
100-9900,Floyd,7,0.4348781
100-9900,Floyd,8,0.4319011
100-9900,Floyd,9,0.4818872
100-9900,Floyd,10,0.4253873
100-9900,Fulkerson,1,0.0095644
100-9900,Fulkerson,2,0.0093352
100-9900,Fulkerson,3,0.0089401
100-9900,Fulkerson,4,0.0095131
100-9900,Fulkerson,5,0.0086469
100-9900,Fulkerson,6,0.009401
100-9900,Fulkerson,7,0.0095351
100-9900,Fulkerson,8,0.0089991
100-9900,Fulkerson,9,0.0120985
100-9900,Fulkerson,10,0.0087901
200-7960,BFS,1,0.1022537
200-7960,BFS,2,0.0445636
200-7960,BFS,3,0.0588505
200-7960,BFS,4,0.0394794
200-7960,BFS,5,0.0273591
200-7960,BFS,6,0.028439
200-7960,BFS,7,0.030075
200-7960,BFS,8,0.0302691
200-7960,BFS,9,0.0350897
200-7960,BFS,10,0.0288539
200-7960,DFS,1,0.0469932
200-7960,DFS,2,0.0332801
200-7960,DFS,3,0.0239011
200-7960,DFS,4,0.0228319
200-7960,DFS,5,0.0248383
200-7960,DFS,6,0.0282614
200-7960,DFS,7,0.0226229
200-7960,DFS,8,0.0224151
200-7960,DFS,9,0.0197386
200-7960,DFS,10,0.0240203
200-7960,Ordenação,1,0.0206137
200-7960,Ordenação,2,0.0212898
200-7960,Ordenação,3,0.0203847
200-7960,Ordenação,4,0.0207212
200-7960,Ordenação,5,0.0193457
200-7960,Ordenação,6,0.0179639
200-7960,Ordenação,7,0.0179628
200-7960,Ordenação,8,0.0176475
200-7960,Ordenação,9,0.0171492
200-7960,Ordenação,10,0.0166649
200-7960,Kruskal,1,0.0512702
200-7960,Kruskal,2,0.0434007
200-7960,Kruskal,3,0.0459605
200-7960,Kruskal,4,0.0388112
200-7960,Kruskal,5,0.0446604
200-7960,Kruskal,6,0.0563839
200-7960,Kruskal,7,0.0647654
200-7960,Kruskal,8,0.0619359
200-7960,Kruskal,9,0.0504129
200-7960,Kruskal,10,0.0412359
200-7960,Prim,1,0.0388804
200-7960,Prim,2,0.0397725
200-7960,Prim,3,0.0314154
200-7960,Prim,4,0.0343589
200-7960,Prim,5,0.0335766
200-7960,Prim,6,0.0337968
200-7960,Prim,7,0.0340152
200-7960,Prim,8,0.0379558
200-7960,Prim,9,0.0338184
200-7960,Prim,10,0.033971
200-7960,Bellman - Lista,1,0.0260086
200-7960,Bellman - Lista,2,0.0364684
200-7960,Bellman - Lista,3,0.0197468
200-7960,Bellman - Lista,4,0.0230426
200-7960,Bellman - Lista,5,0.0180708
200-7960,Bellman - Lista,6,0.0184342
200-7960,Bellman - Lista,7,0.01784
200-7960,Bellman - Lista,8,0.0184455
200-7960,Bellman - Lista,9,0.0197746
200-7960,Bellman - Lista,10,0.0185387
200-7960,Bellman - Matriz,1,0.0220107
200-7960,Bellman - Matriz,2,0.0179536
200-7960,Bellman - Matriz,3,0.0174756
200-7960,Bellman - Matriz,4,0.0190286
200-7960,Bellman - Matriz,5,0.0179824
200-7960,Bellman - Matriz,6,0.0189718
200-7960,Bellman - Matriz,7,0.0166865
200-7960,Bellman - Matriz,8,0.0172985
200-7960,Bellman - Matriz,9,0.0184176
200-7960,Bellman - Matriz,10,0.0161633
200-7960,Djkstra - Lista,1,0.0479964
200-7960,Djkstra - Lista,2,0.0396296
200-7960,Djkstra - Lista,3,0.0350585
200-7960,Djkstra - Lista,4,0.041426
200-7960,Djkstra - Lista,5,0.0315048
200-7960,Djkstra - Lista,6,0.0307603
200-7960,Djkstra - Lista,7,0.0307502
200-7960,Djkstra - Lista,8,0.0306038
200-7960,Djkstra - Lista,9,0.0304425
200-7960,Djkstra - Lista,10,0.0318572
200-7960,Djkstra - Matriz,1,0.0751663
200-7960,Djkstra - Matriz,2,0.0410188
200-7960,Djkstra - Matriz,3,0.0302746
200-7960,Djkstra - Matriz,4,0.0344905
200-7960,Djkstra - Matriz,5,0.0368933
200-7960,Djkstra - Matriz,6,0.0480624
200-7960,Djkstra - Matriz,7,0.4909787
200-7960,Djkstra - Matriz,8,0.1171496
200-7960,Djkstra - Matriz,9,0.0355068
200-7960,Djkstra - Matriz,10,0.0337508
200-7960,Floyd,1,1.7237476
200-7960,Floyd,2,1.7207966
200-7960,Floyd,3,1.7102707
200-7960,Floyd,4,1.6427534
200-7960,Floyd,5,1.673424
200-7960,Floyd,6,1.622873
200-7960,Floyd,7,1.7022862
200-7960,Floyd,8,1.6334414
200-7960,Floyd,9,1.6799444
200-7960,Floyd,10,1.6486221
200-7960,Fulkerson,1,0.0151562
200-7960,Fulkerson,2,0.0193117
200-7960,Fulkerson,3,0.012326
200-7960,Fulkerson,4,0.0121416
200-7960,Fulkerson,5,0.0108051
200-7960,Fulkerson,6,0.0111697
200-7960,Fulkerson,7,0.0099114
200-7960,Fulkerson,8,0.0092663
200-7960,Fulkerson,9,0.010703
200-7960,Fulkerson,10,0.0088548
200-15920,BFS,1,0.0353358
200-15920,BFS,2,0.0327038
200-15920,BFS,3,0.0328658
200-15920,BFS,4,0.0344299
200-15920,BFS,5,0.0348197
200-15920,BFS,6,0.0322996
200-15920,BFS,7,0.0329395
200-15920,BFS,8,0.0321505
200-15920,BFS,9,0.032048
200-15920,BFS,10,0.0323757
200-15920,DFS,1,0.0255022
200-15920,DFS,2,0.0267867
200-15920,DFS,3,0.0228558
200-15920,DFS,4,0.0250284
200-15920,DFS,5,0.0260992
200-15920,DFS,6,0.0260355
200-15920,DFS,7,0.0246906
200-15920,DFS,8,0.0225181
200-15920,DFS,9,0.0241573
200-15920,DFS,10,0.0229287
200-15920,Ordenação,1,0.0247397
200-15920,Ordenação,2,0.0258913
200-15920,Ordenação,3,0.0245539
200-15920,Ordenação,4,0.0271777
200-15920,Ordenação,5,0.0248749
200-15920,Ordenação,6,0.0242356
200-15920,Ordenação,7,0.0229629
200-15920,Ordenação,8,0.0242717
200-15920,Ordenação,9,0.0232846
200-15920,Ordenação,10,0.0237029
200-15920,Kruskal,1,0.0573451
200-15920,Kruskal,2,0.0582197
200-15920,Kruskal,3,0.0498286
200-15920,Kruskal,4,0.051019
200-15920,Kruskal,5,0.0492209
200-15920,Kruskal,6,0.0635235
200-15920,Kruskal,7,0.0635857
200-15920,Kruskal,8,0.0621265
200-15920,Kruskal,9,0.0486027
200-15920,Kruskal,10,0.0495471
200-15920,Prim,1,0.0430598
200-15920,Prim,2,0.0448792
200-15920,Prim,3,0.0431457
200-15920,Prim,4,0.0366946
200-15920,Prim,5,0.0326148
200-15920,Prim,6,0.0330837
200-15920,Prim,7,0.034228
